Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,9.93,nan,0.00,0.44,35.13,0.0000,0.0000
2022-07-27 12:04,9.87,nan,0.00,0.44,35.13,0.0000,0.0000
2022-07-27 12:06,9.81,nan,0.00,0.44,35.12,0.0000,0.0000
2022-07-27 12:08,9.74,nan,0.00,0.44,35.12,0.0000,0.0000
2022-07-27 12:10,9.68,nan,0.00,0.44,35.12,0.0000,0.0000
2022-07-27 12:12,9.62,nan,0.00,0.44,35.11,0.0000,0.0000
2022-07-27 12:14,9.56,nan,0.00,0.44,35.11,0.0000,0.0000
2022-07-27 12:16,9.50,nan,0.00,0.44,35.11,0.0000,0.0000
2022-07-27 12:18,9.44,nan,0.00,0.44,35.10,0.0000,0.0000
2022-07-27 12:20,9.38,nan,0.00,0.44,35.10,0.0000,0.0000
2022-07-27 12:22,9.32,nan,0.00,0.44,35.10,0.0000,0.0000
2022-07-27 12:24,9.26,nan,0.00,0.44,35.09,0.0000,0.0000
2022-07-27 12:26,9.20,nan,0.00,0.44,35.09,0.0000,0.0000
2022-07-27 12:28,9.14,nan,0.00,0.44,35.08,0.0000,0.0000
2022-07-27 12:30,9.08,1.41,0.00,0.44,35.08,0.0000,0.0000
2022-07-27 12:32,9.02,nan,0.00,0.44,35.08,0.0000,0.0000
2022-07-27 12:34,8.97,nan,0.00,0.44,35.07,0.0000,0.0000
2022-07-27 12:36,8.91,nan,0.00,0.44,35.07,0.0000,0.0000
2022-07-27 12:38,8.86,nan,0.00,0.44,35.07,0.0000,0.0000
2022-07-27 12:40,8.80,nan,0.00,0.44,35.06,0.0000,0.0000
2022-07-27 12:42,8.75,nan,0.05,0.44,35.06,0.0001,0.0017
2022-07-27 12:44,8.69,nan,0.08,0.44,35.06,0.0001,0.0035
2022-07-27 12:46,8.64,nan,0.09,0.44,35.05,0.0001,0.0034
2022-07-27 12:48,8.58,nan,0.03,0.44,35.05,0.0000,0.0006
2022-07-27 12:50,8.53,nan,0.01,0.44,35.05,0.0000,0.0000
2022-07-27 12:52,8.48,nan,0.01,0.44,35.04,0.0000,0.0000
2022-07-27 12:54,8.43,nan,0.00,0.44,35.04,0.0000,0.0000
2022-07-27 12:56,8.37,nan,0.01,0.44,35.04,0.0000,0.0005
2022-07-27 12:58,8.32,nan,0.02,0.44,35.03,0.0000,0.0000
2022-07-27 13:00,8.27,1.54,0.30,0.44,35.03,0.0003,0.0145
2022-07-27 13:02,8.22,nan,0.43,0.44,35.04,0.0057,0.0182
2022-07-27 13:04,8.17,nan,0.38,0.44,35.04,0.0060,0.0126
2022-07-27 13:06,8.12,nan,0.38,0.44,35.04,0.0059,0.0128
2022-07-27 13:08,8.08,nan,0.52,0.44,35.04,0.0031,0.0268
2022-07-27 13:10,8.03,nan,0.67,0.44,35.05,0.0027,0.0401
2022-07-27 13:12,7.98,nan,1.62,0.44,35.07,0.0392,0.0898
2022-07-27 13:14,7.93,nan,0.72,0.44,35.07,0.0013,0.0522
2022-07-27 13:16,7.88,nan,0.65,0.44,35.08,0.0043,0.0459
2022-07-27 13:18,7.84,nan,0.44,0.44,35.08,0.0042,0.0316
2022-07-27 13:20,7.79,nan,0.00,0.44,35.08,0.0000,0.0000
2022-07-27 13:22,7.75,nan,0.00,0.44,35.08,0.0000,0.0000
2022-07-27 13:24,7.70,nan,0.00,0.44,35.07,0.0000,0.0000
2022-07-27 13:26,7.66,nan,0.00,0.44,35.07,0.0000,0.0000
2022-07-27 13:28,7.61,nan,0.00,0.44,35.07,0.0000,0.0000
2022-07-27 13:30,7.57,1.65,0.00,0.44,35.06,0.0000,0.0000
2022-07-27 13:32,7.53,nan,0.02,0.44,35.06,0.0000,0.0003
2022-07-27 13:34,7.49,nan,0.21,0.44,35.06,0.0005,0.0100
2022-07-27 13:36,7.44,nan,0.40,0.44,35.06,0.0009,0.0180
2022-07-27 13:38,7.40,nan,0.48,0.44,35.06,0.0012,0.0230
2022-07-27 13:40,7.36,nan,0.59,0.44,35.07,0.0014,0.0308
2022-07-27 13:42,7.32,nan,0.24,0.44,35.06,0.0003,0.0043
2022-07-27 13:44,7.28,nan,0.17,0.44,35.06,0.0001,0.0029
2022-07-27 13:46,7.24,nan,0.17,0.44,35.06,0.0001,0.0030
2022-07-27 13:48,7.20,nan,0.13,0.44,35.06,0.0001,0.0033
2022-07-27 13:50,7.16,nan,0.23,0.44,35.06,0.0002,0.0071
2022-07-27 13:52,7.12,nan,0.52,0.44,35.06,0.0078,0.0216
2022-07-27 13:54,7.09,nan,0.56,0.44,35.06,0.0083,0.0221
2022-07-27 13:56,7.05,nan,0.43,0.44,35.06,0.0006,0.0197
2022-07-27 13:58,7.01,nan,0.18,0.44,35.06,0.0001,0.0045
2022-07-27 14:00,6.97,1.68,0.06,0.44,35.06,0.0000,0.0015
2022-07-27 14:02,6.94,nan,0.12,0.44,35.06,0.0001,0.0047
2022-07-27 14:04,6.90,nan,0.12,0.44,35.05,0.0001,0.0047
2022-07-27 14:06,6.87,nan,0.10,0.44,35.05,0.0001,0.0023
2022-07-27 14:08,6.83,nan,0.20,0.44,35.05,0.0003,0.0043
2022-07-27 14:10,6.80,nan,0.30,0.44,35.05,0.0003,0.0092
2022-07-27 14:12,6.76,nan,0.38,0.44,35.05,0.0004,0.0119
2022-07-27 14:14,6.73,nan,0.55,0.44,35.05,0.0007,0.0244
2022-07-27 14:16,6.69,nan,0.84,0.44,35.06,0.0017,0.0437
2022-07-27 14:18,6.66,nan,0.83,0.44,35.07,0.0017,0.0421
2022-07-27 14:20,6.62,nan,1.45,0.44,35.09,0.0027,0.0853
2022-07-27 14:22,6.59,nan,1.23,0.44,35.10,0.0023,0.0684
2022-07-27 14:24,6.56,nan,1.62,0.44,35.12,0.0025,0.1035
2022-07-27 14:26,6.53,nan,1.68,0.44,35.14,0.0028,0.1086
2022-07-27 14:28,6.49,nan,2.18,0.44,35.17,0.0185,0.1352
2022-07-27 14:30,6.46,1.68,1.76,0.44,35.19,0.0185,0.1143
2022-07-27 14:32,6.43,nan,1.36,0.44,35.21,0.0110,0.0898
2022-07-27 14:34,6.40,nan,1.31,0.44,35.22,0.0082,0.0884
2022-07-27 14:36,6.37,nan,1.31,0.44,35.23,0.0082,0.0886
2022-07-27 14:38,6.34,nan,1.31,0.44,35.25,0.0082,0.0888
2022-07-27 14:40,6.31,nan,0.84,0.44,35.26,0.0069,0.0568
2022-07-27 14:42,6.28,nan,0.50,0.44,35.26,0.0017,0.0367
2022-07-27 14:44,6.25,nan,0.51,0.44,35.26,0.0017,0.0375
2022-07-27 14:46,6.22,nan,0.24,0.44,35.26,0.0012,0.0179
2022-07-27 14:48,6.20,nan,0.21,0.44,35.26,0.0007,0.0139
2022-07-27 14:50,6.17,nan,0.51,0.44,35.27,0.0010,0.0284
2022-07-27 14:52,6.14,nan,1.42,0.44,35.28,0.0036,0.0911
2022-07-27 14:54,6.11,nan,1.42,0.44,35.30,0.0036,0.0912
2022-07-27 14:56,6.09,nan,2.58,0.44,35.34,0.0059,0.1769
2022-07-27 14:58,6.06,nan,1.93,0.44,35.36,0.0044,0.1257
2022-07-27 15:00,6.03,1.63,2.22,0.44,35.39,0.0052,0.1528
2022-07-27 15:02,6.01,nan,2.15,0.44,35.42,0.0049,0.1475
2022-07-27 15:04,5.98,nan,1.91,0.44,35.44,0.0041,0.1288
2022-07-27 15:06,5.96,nan,1.31,0.44,35.45,0.0025,0.0780
2022-07-27 15:08,5.93,nan,0.86,0.44,35.46,0.0012,0.0429
2022-07-27 15:10,5.91,nan,0.69,0.44,35.46,0.0010,0.0335
2022-07-27 15:12,5.89,nan,0.79,0.44,35.47,0.0011,0.0387
2022-07-27 15:14,5.86,nan,1.13,0.44,35.48,0.0022,0.0778
2022-07-27 15:16,5.84,nan,1.60,0.44,35.50,0.0029,0.1123
2022-07-27 15:18,5.82,nan,2.28,0.44,35.53,0.0060,0.1699
2022-07-27 15:20,5.80,nan,2.69,0.44,35.57,0.0070,0.2025
2022-07-27 15:22,5.77,nan,2.70,0.44,35.60,0.0086,0.2021
2022-07-27 15:24,5.75,nan,2.01,0.44,35.63,0.0040,0.1419
2022-07-27 15:26,5.73,nan,1.37,0.44,35.64,0.0027,0.0848
2022-07-27 15:28,5.71,nan,1.16,0.44,35.65,0.0025,0.0728
2022-07-27 15:30,5.69,1.60,1.10,0.44,35.66,0.0024,0.0691
2022-07-27 15:32,5.67,nan,0.79,0.44,35.67,0.0019,0.0507
2022-07-27 15:34,5.65,nan,0.30,0.44,35.67,0.0004,0.0127
2022-07-27 15:36,5.64,nan,0.18,0.44,35.67,0.0003,0.0078
2022-07-27 15:38,5.62,nan,0.18,0.44,35.67,0.0003,0.0114
2022-07-27 15:40,5.60,nan,0.18,0.44,35.67,0.0003,0.0114
2022-07-27 15:42,5.58,nan,0.14,0.44,35.67,0.0003,0.0080
2022-07-27 15:44,5.57,nan,0.03,0.44,35.66,0.0000,0.0007
2022-07-27 15:46,5.55,nan,0.03,0.44,35.66,0.0001,0.0022
