Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,33.22,nan,0.00,0.52,44.14,0.0000,0.0000
2022-07-27 12:04,33.18,nan,0.00,0.52,44.14,0.0000,0.0000
2022-07-27 12:06,33.14,nan,0.00,0.52,44.13,0.0000,0.0000
2022-07-27 12:08,33.11,nan,0.00,0.52,44.13,0.0000,0.0000
2022-07-27 12:10,33.07,nan,0.00,0.52,44.12,0.0000,0.0000
2022-07-27 12:12,33.04,nan,0.00,0.52,44.12,0.0000,0.0000
2022-07-27 12:14,33.01,nan,0.00,0.52,44.11,0.0000,0.0000
2022-07-27 12:16,32.99,nan,0.00,0.52,44.11,0.0000,0.0000
2022-07-27 12:18,32.96,nan,0.00,0.52,44.10,0.0000,0.0000
2022-07-27 12:20,32.94,nan,0.00,0.52,44.10,0.0000,0.0000
2022-07-27 12:22,32.92,nan,0.00,0.52,44.09,0.0000,0.0000
2022-07-27 12:24,32.90,nan,0.00,0.52,44.09,0.0000,0.0000
2022-07-27 12:26,32.89,nan,0.00,0.52,44.09,0.0000,0.0000
2022-07-27 12:28,32.87,nan,0.00,0.52,44.08,0.0000,0.0000
2022-07-27 12:30,32.86,3.91,0.00,0.52,44.08,0.0000,0.0000
2022-07-27 12:32,32.85,nan,0.00,0.52,44.07,0.0000,0.0000
2022-07-27 12:34,32.84,nan,0.00,0.52,44.07,0.0000,0.0000
2022-07-27 12:36,32.83,nan,0.00,0.52,44.06,0.0000,0.0000
2022-07-27 12:38,32.83,nan,0.00,0.52,44.06,0.0000,0.0000
2022-07-27 12:40,32.82,nan,0.00,0.52,44.05,0.0000,0.0000
2022-07-27 12:42,32.82,nan,0.00,0.52,44.05,0.0000,0.0000
2022-07-27 12:44,32.81,nan,0.00,0.52,44.04,0.0000,0.0000
2022-07-27 12:46,32.81,nan,0.00,0.52,44.04,0.0000,0.0000
2022-07-27 12:48,32.81,nan,0.00,0.52,44.03,0.0000,0.0000
2022-07-27 12:50,32.81,nan,0.00,0.52,44.03,0.0000,0.0000
2022-07-27 12:52,32.81,nan,0.00,0.52,44.02,0.0000,0.0000
2022-07-27 12:54,32.81,nan,0.00,0.52,44.02,0.0000,0.0000
2022-07-27 12:56,32.81,nan,0.00,0.52,44.01,0.0000,0.0000
2022-07-27 12:58,32.81,nan,0.00,0.52,44.01,0.0000,0.0000
2022-07-27 13:00,32.81,3.91,0.00,0.52,44.00,0.0000,0.0000
2022-07-27 13:02,32.81,nan,0.00,0.52,44.00,0.0000,0.0000
2022-07-27 13:04,32.81,nan,0.00,0.52,43.99,0.0000,0.0000
2022-07-27 13:06,32.81,nan,0.00,0.52,43.99,0.0000,0.0000
2022-07-27 13:08,32.81,nan,0.00,0.52,43.98,0.0000,0.0000
2022-07-27 13:10,32.81,nan,0.00,0.52,43.98,0.0000,0.0000
2022-07-27 13:12,32.80,nan,0.00,0.52,43.98,0.0000,0.0000
2022-07-27 13:14,32.80,nan,0.00,0.52,43.97,0.0000,0.0000
2022-07-27 13:16,32.80,nan,0.00,0.52,43.97,0.0000,0.0000
2022-07-27 13:18,32.80,nan,0.00,0.52,43.96,0.0000,0.0000
2022-07-27 13:20,32.79,nan,0.00,0.52,43.96,0.0000,0.0000
2022-07-27 13:22,32.79,nan,0.00,0.52,43.95,0.0000,0.0000
2022-07-27 13:24,32.78,nan,0.00,0.52,43.95,0.0000,0.0000
2022-07-27 13:26,32.77,nan,0.00,0.52,43.94,0.0000,0.0000
2022-07-27 13:28,32.77,nan,0.00,0.52,43.94,0.0000,0.0000
2022-07-27 13:30,32.76,3.96,0.00,0.52,43.93,0.0000,0.0000
2022-07-27 13:32,32.75,nan,0.00,0.52,43.93,0.0000,0.0000
2022-07-27 13:34,32.74,nan,0.00,0.52,43.92,0.0000,0.0000
2022-07-27 13:36,32.72,nan,0.00,0.52,43.92,0.0000,0.0000
2022-07-27 13:38,32.71,nan,0.00,0.52,43.91,0.0000,0.0000
2022-07-27 13:40,32.70,nan,0.00,0.52,43.91,0.0000,0.0000
2022-07-27 13:42,32.68,nan,0.00,0.52,43.90,0.0000,0.0000
2022-07-27 13:44,32.66,nan,0.00,0.52,43.90,0.0000,0.0000
2022-07-27 13:46,32.64,nan,0.00,0.52,43.89,0.0000,0.0000
2022-07-27 13:48,32.62,nan,0.00,0.52,43.89,0.0000,0.0000
2022-07-27 13:50,32.60,nan,0.00,0.52,43.88,0.0000,0.0000
2022-07-27 13:52,32.58,nan,0.00,0.52,43.88,0.0000,0.0000
2022-07-27 13:54,32.56,nan,0.00,0.52,43.87,0.0000,0.0000
2022-07-27 13:56,32.53,nan,0.00,0.52,43.87,0.0000,0.0000
2022-07-27 13:58,32.51,nan,0.00,0.52,43.86,0.0000,0.0000
2022-07-27 14:00,32.48,4.05,0.00,0.52,43.86,0.0000,0.0000
2022-07-27 14:02,32.45,nan,0.00,0.52,43.86,0.0000,0.0000
2022-07-27 14:04,32.42,nan,0.00,0.52,43.85,0.0000,0.0000
2022-07-27 14:06,32.39,nan,0.00,0.52,43.85,0.0000,0.0000
2022-07-27 14:08,32.36,nan,0.00,0.52,43.84,0.0000,0.0000
2022-07-27 14:10,32.32,nan,0.00,0.52,43.84,0.0000,0.0000
2022-07-27 14:12,32.29,nan,0.00,0.52,43.83,0.0000,0.0000
2022-07-27 14:14,32.25,nan,0.00,0.52,43.83,0.0000,0.0000
2022-07-27 14:16,32.21,nan,0.00,0.52,43.82,0.0000,0.0000
2022-07-27 14:18,32.18,nan,0.00,0.52,43.82,0.0000,0.0000
2022-07-27 14:20,32.14,nan,0.00,0.52,43.81,0.0000,0.0000
2022-07-27 14:22,32.10,nan,0.00,0.52,43.81,0.0000,0.0000
2022-07-27 14:24,32.05,nan,0.00,0.52,43.80,0.0000,0.0000
2022-07-27 14:26,32.01,nan,0.00,0.52,43.80,0.0000,0.0000
2022-07-27 14:28,31.97,nan,0.00,0.52,43.79,0.0000,0.0000
2022-07-27 14:30,31.92,4.19,0.00,0.52,43.79,0.0000,0.0000
2022-07-27 14:32,31.88,nan,0.00,0.52,43.78,0.0000,0.0000
2022-07-27 14:34,31.83,nan,0.00,0.52,43.78,0.0000,0.0000
2022-07-27 14:36,31.78,nan,0.00,0.52,43.77,0.0000,0.0000
2022-07-27 14:38,31.73,nan,0.00,0.52,43.77,0.0000,0.0000
2022-07-27 14:40,31.68,nan,0.00,0.52,43.76,0.0000,0.0000
2022-07-27 14:42,31.63,nan,0.00,0.52,43.76,0.0000,0.0000
2022-07-27 14:44,31.58,nan,0.00,0.52,43.76,0.0000,0.0000
2022-07-27 14:46,31.53,nan,0.00,0.52,43.75,0.0000,0.0000
2022-07-27 14:48,31.48,nan,0.00,0.52,43.75,0.0000,0.0000
2022-07-27 14:50,31.43,nan,0.00,0.52,43.74,0.0000,0.0000
2022-07-27 14:52,31.37,nan,0.02,0.52,43.74,0.0000,0.0008
