Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,113.22,nan,1.69,0.44,39.30,0.1292,0.1190
2022-07-27 12:04,114.18,nan,2.22,0.44,39.32,0.1745,0.1563
2022-07-27 12:06,115.20,nan,2.34,0.44,39.34,0.1834,0.1654
2022-07-27 12:08,116.25,nan,3.21,0.44,39.38,0.2538,0.2080
2022-07-27 12:10,117.35,nan,3.24,0.44,39.42,0.2576,0.2097
2022-07-27 12:12,118.50,nan,3.32,0.44,39.45,0.2667,0.2148
2022-07-27 12:14,119.72,nan,3.56,0.44,39.50,0.2203,0.2429
2022-07-27 12:16,121.00,nan,3.62,0.44,39.54,0.2286,0.2470
2022-07-27 12:18,122.34,nan,4.11,0.44,39.60,0.1787,0.2995
2022-07-27 12:20,123.74,nan,4.26,0.44,39.66,0.1999,0.3003
2022-07-27 12:22,125.19,nan,5.30,0.44,39.75,0.2556,0.3230
2022-07-27 12:24,126.69,nan,5.26,0.44,39.83,0.2526,0.3158
2022-07-27 12:26,128.23,nan,6.24,0.44,39.93,0.2644,0.3506
2022-07-27 12:28,129.79,nan,6.48,0.44,40.04,0.2776,0.3417
2022-07-27 12:30,131.38,16.85,6.47,0.44,40.15,0.2799,0.3428
2022-07-27 12:32,133.00,nan,7.63,0.44,40.29,0.3236,0.3521
2022-07-27 12:34,134.63,nan,7.62,0.44,40.43,0.3240,0.3499
2022-07-27 12:36,136.27,nan,7.93,0.44,40.57,0.3283,0.3557
2022-07-27 12:38,137.92,nan,7.94,0.44,40.71,0.3373,0.3549
2022-07-27 12:40,139.56,nan,9.01,0.44,40.88,0.4090,0.3947
2022-07-27 12:42,141.18,nan,9.16,0.44,41.04,0.4355,0.3892
2022-07-27 12:44,142.79,nan,9.06,0.44,41.21,0.4378,0.3885
2022-07-27 12:46,144.38,nan,9.12,0.44,41.37,0.4246,0.4005
2022-07-27 12:48,145.94,nan,9.27,0.44,41.53,0.4514,0.4052
2022-07-27 12:50,147.47,nan,8.52,0.44,41.68,0.3732,0.4021
2022-07-27 12:52,148.95,nan,8.56,0.44,41.83,0.3713,0.4038
2022-07-27 12:54,150.40,nan,7.82,0.44,41.97,0.2960,0.3986
2022-07-27 12:56,151.80,nan,7.74,0.44,42.11,0.3035,0.3874
2022-07-27 12:58,153.15,nan,7.71,0.44,42.24,0.2889,0.3828
2022-07-27 13:00,154.46,20.36,6.82,0.44,42.36,0.2383,0.3462
2022-07-27 13:02,155.72,nan,7.07,0.44,42.49,0.2568,0.3436
2022-07-27 13:04,156.93,nan,6.57,0.44,42.60,0.2341,0.3252
2022-07-27 13:06,158.08,nan,6.57,0.44,42.72,0.2380,0.3270
2022-07-27 13:08,159.18,nan,5.99,0.44,42.82,0.2098,0.3146
2022-07-27 13:10,160.23,nan,5.81,0.44,42.92,0.2076,0.3090
2022-07-27 13:12,161.24,nan,5.27,0.44,43.01,0.1561,0.3103
2022-07-27 13:14,162.19,nan,5.08,0.44,43.09,0.1526,0.2997
2022-07-27 13:16,163.08,nan,4.67,0.44,43.17,0.1292,0.2891
2022-07-27 13:18,163.92,nan,4.50,0.44,43.25,0.1287,0.2763
2022-07-27 13:20,164.70,nan,4.39,0.44,43.32,0.1234,0.2724
2022-07-27 13:22,165.42,nan,4.92,0.44,43.40,0.1655,0.2736
