Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,27.47,nan,0.11,0.56,36.09,0.0020,0.0052
2022-07-27 12:04,27.44,nan,0.01,0.56,36.08,0.0000,0.0000
2022-07-27 12:06,27.42,nan,0.01,0.56,36.08,0.0000,0.0000
2022-07-27 12:08,27.40,nan,0.05,0.56,36.07,0.0000,0.0027
2022-07-27 12:10,27.38,nan,0.05,0.56,36.07,0.0000,0.0023
2022-07-27 12:12,27.37,nan,0.05,0.56,36.06,0.0000,0.0022
2022-07-27 12:14,27.37,nan,0.00,0.56,36.06,0.0000,0.0000
2022-07-27 12:16,27.36,nan,0.00,0.56,36.05,0.0000,0.0000
2022-07-27 12:18,27.36,nan,0.00,0.56,36.05,0.0000,0.0000
2022-07-27 12:20,27.36,nan,0.00,0.56,36.04,0.0000,0.0000
2022-07-27 12:22,27.37,nan,0.00,0.56,36.03,0.0000,0.0000
2022-07-27 12:24,27.37,nan,0.00,0.56,36.03,0.0000,0.0000
2022-07-27 12:26,27.38,nan,0.00,0.56,36.02,0.0000,0.0000
2022-07-27 12:28,27.40,nan,0.00,0.56,36.02,0.0000,0.0000
2022-07-27 12:30,27.41,5.18,0.00,0.56,36.01,0.0000,0.0000
2022-07-27 12:32,27.42,nan,0.00,0.56,36.01,0.0000,0.0000
2022-07-27 12:34,27.44,nan,0.00,0.56,36.00,0.0000,0.0000
2022-07-27 12:36,27.46,nan,0.00,0.56,35.99,0.0000,0.0000
2022-07-27 12:38,27.48,nan,0.00,0.56,35.99,0.0000,0.0000
2022-07-27 12:40,27.50,nan,0.00,0.56,35.98,0.0000,0.0000
2022-07-27 12:42,27.52,nan,0.00,0.56,35.98,0.0000,0.0000
2022-07-27 12:44,27.55,nan,0.00,0.56,35.97,0.0000,0.0000
2022-07-27 12:46,27.57,nan,0.00,0.56,35.97,0.0000,0.0000
2022-07-27 12:48,27.60,nan,0.00,0.56,35.96,0.0000,0.0000
2022-07-27 12:50,27.62,nan,0.00,0.56,35.96,0.0000,0.0000
2022-07-27 12:52,27.65,nan,0.00,0.56,35.95,0.0000,0.0000
2022-07-27 12:54,27.67,nan,0.00,0.56,35.94,0.0000,0.0000
2022-07-27 12:56,27.70,nan,0.00,0.56,35.94,0.0000,0.0000
2022-07-27 12:58,27.73,nan,0.00,0.56,35.93,0.0000,0.0000
2022-07-27 13:00,27.75,5.64,0.00,0.56,35.93,0.0000,0.0000
2022-07-27 13:02,27.78,nan,0.00,0.56,35.92,0.0000,0.0000
2022-07-27 13:04,27.81,nan,0.00,0.56,35.92,0.0000,0.0000
2022-07-27 13:06,27.83,nan,0.00,0.56,35.91,0.0000,0.0000
2022-07-27 13:08,27.86,nan,0.00,0.56,35.91,0.0000,0.0000
2022-07-27 13:10,27.88,nan,0.00,0.56,35.90,0.0000,0.0000
2022-07-27 13:12,27.91,nan,0.00,0.56,35.89,0.0000,0.0000
2022-07-27 13:14,27.93,nan,0.00,0.56,35.89,0.0000,0.0000
2022-07-27 13:16,27.95,nan,0.00,0.56,35.88,0.0000,0.0000
2022-07-27 13:18,27.97,nan,0.00,0.56,35.88,0.0000,0.0000
2022-07-27 13:20,27.99,nan,0.00,0.56,35.87,0.0000,0.0000
2022-07-27 13:22,28.01,nan,0.00,0.56,35.87,0.0000,0.0000
2022-07-27 13:24,28.03,nan,0.00,0.56,35.86,0.0000,0.0000
2022-07-27 13:26,28.05,nan,0.00,0.56,35.86,0.0000,0.0000
2022-07-27 13:28,28.07,nan,0.00,0.56,35.85,0.0000,0.0000
2022-07-27 13:30,28.08,5.78,0.00,0.56,35.84,0.0000,0.0000
2022-07-27 13:32,28.09,nan,0.00,0.56,35.84,0.0000,0.0000
2022-07-27 13:34,28.11,nan,0.00,0.56,35.83,0.0000,0.0000
2022-07-27 13:36,28.12,nan,0.00,0.56,35.83,0.0000,0.0000
2022-07-27 13:38,28.13,nan,0.00,0.56,35.82,0.0000,0.0000
2022-07-27 13:40,28.13,nan,0.00,0.56,35.82,0.0000,0.0000
