Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,16.18,nan,0.86,0.44,42.38,0.0209,0.0671
2022-07-27 12:04,16.11,nan,3.75,0.44,42.44,0.1699,0.2017
2022-07-27 12:06,16.04,nan,3.85,0.44,42.50,0.1767,0.2072
2022-07-27 12:08,15.97,nan,6.27,0.44,42.61,0.2504,0.3600
2022-07-27 12:10,15.90,nan,6.32,0.44,42.72,0.2539,0.3673
2022-07-27 12:12,15.83,nan,7.48,0.44,42.85,0.3549,0.3852
2022-07-27 12:14,15.77,nan,11.21,0.44,43.06,0.5998,0.5008
2022-07-27 12:16,15.70,nan,9.78,0.44,43.23,0.4526,0.5107
2022-07-27 12:18,15.64,nan,9.70,0.44,43.41,0.3775,0.5751
2022-07-27 12:20,15.58,nan,9.79,0.44,43.58,0.3885,0.5821
2022-07-27 12:22,15.53,nan,13.55,0.44,43.83,0.7461,0.6154
2022-07-27 12:24,15.48,nan,13.63,0.44,44.07,0.7680,0.6231
2022-07-27 12:26,15.44,nan,10.37,0.44,44.26,0.5853,0.4589
2022-07-27 12:28,15.39,nan,11.07,0.44,44.45,0.6595,0.4710
2022-07-27 12:30,15.35,3.28,10.33,0.44,44.63,0.6000,0.4635
2022-07-27 12:32,15.31,nan,8.01,0.44,44.77,0.3693,0.4466
2022-07-27 12:34,15.28,nan,8.05,0.44,44.91,0.3766,0.4523
2022-07-27 12:36,15.25,nan,5.92,0.44,45.01,0.1379,0.4557
2022-07-27 12:38,15.22,nan,5.95,0.44,45.11,0.1411,0.4593
2022-07-27 12:40,15.19,nan,4.70,0.44,45.19,0.0564,0.4187
2022-07-27 12:42,15.17,nan,4.68,0.44,45.27,0.0557,0.4187
2022-07-27 12:44,15.15,nan,4.68,0.44,45.34,0.0556,0.4201
2022-07-27 12:46,15.13,nan,3.51,0.44,45.40,0.0651,0.2998
2022-07-27 12:48,15.11,nan,3.53,0.44,45.45,0.0657,0.3022
2022-07-27 12:50,15.10,nan,2.67,0.44,45.48,0.0922,0.2051
2022-07-27 12:52,15.09,nan,2.66,0.44,45.52,0.0927,0.2050
2022-07-27 12:54,15.08,nan,2.42,0.44,45.55,0.0800,0.2008
2022-07-27 12:56,15.08,nan,2.42,0.44,45.58,0.0804,0.2016
