Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,57597.75,nan,1.03,0.58,24.95,0.0459,0.0295
2022-07-27 12:04,57599.18,nan,1.03,0.58,24.95,0.0459,0.0232
2022-07-27 12:06,57600.64,nan,1.00,0.58,24.96,0.0444,0.0230
2022-07-27 12:08,57602.12,nan,0.99,0.58,24.97,0.0429,0.0232
2022-07-27 12:10,57603.63,nan,0.98,0.58,24.98,0.0430,0.0227
2022-07-27 12:12,57605.17,nan,0.97,0.58,24.98,0.0419,0.0229
2022-07-27 12:14,57606.73,nan,0.98,0.58,24.99,0.0418,0.0227
2022-07-27 12:16,57608.32,nan,0.98,0.58,25.00,0.0410,0.0224
2022-07-27 12:18,57609.94,nan,1.00,0.58,25.01,0.0415,0.0228
2022-07-27 12:20,57611.57,nan,0.99,0.58,25.02,0.0405,0.0234
2022-07-27 12:22,57613.22,nan,1.00,0.58,25.02,0.0403,0.0228
2022-07-27 12:24,57614.89,nan,1.00,0.58,25.03,0.0397,0.0229
2022-07-27 12:26,57616.57,nan,1.00,0.58,25.04,0.0393,0.0226
2022-07-27 12:28,57618.26,nan,0.99,0.58,25.05,0.0391,0.0227
2022-07-27 12:30,57619.96,nan,0.98,0.58,25.06,0.0381,0.0224
2022-07-27 12:32,57621.66,nan,0.96,0.58,25.06,0.0378,0.0216
2022-07-27 12:34,57623.36,nan,0.98,0.58,25.07,0.0385,0.0220
2022-07-27 12:36,57625.07,nan,0.97,0.58,25.08,0.0380,0.0220
2022-07-27 12:38,57626.78,nan,0.96,0.58,25.09,0.0372,0.0218
2022-07-27 12:40,57628.49,nan,0.96,0.58,25.10,0.0361,0.0223
2022-07-27 12:42,57630.21,nan,0.96,0.58,25.11,0.0363,0.0225
2022-07-27 12:44,57631.93,nan,0.94,0.58,25.11,0.0349,0.0221
2022-07-27 12:46,57633.64,nan,0.92,0.58,25.12,0.0334,0.0216
2022-07-27 12:48,57635.37,nan,0.92,0.58,25.13,0.0338,0.0218
2022-07-27 12:50,57637.09,nan,0.94,0.58,25.14,0.0348,0.0214
2022-07-27 12:52,57638.81,nan,0.93,0.58,25.15,0.0345,0.0216
2022-07-27 12:54,57640.53,nan,0.94,0.58,25.15,0.0348,0.0215
2022-07-27 12:56,57642.25,nan,0.95,0.58,25.16,0.0354,0.0216
2022-07-27 12:58,57643.97,nan,0.96,0.58,25.17,0.0359,0.0224
2022-07-27 13:00,57645.68,nan,0.96,0.58,25.18,0.0362,0.0217
2022-07-27 13:02,57647.39,nan,0.96,0.58,25.19,0.0367,0.0221
2022-07-27 13:04,57649.10,nan,0.99,0.58,25.20,0.0369,0.0229
2022-07-27 13:06,57650.80,nan,1.00,0.58,25.21,0.0382,0.0227
2022-07-27 13:08,57652.51,nan,0.98,0.58,25.21,0.0375,0.0223
2022-07-27 13:10,57654.21,nan,0.99,0.58,25.22,0.0383,0.0226
2022-07-27 13:12,57655.91,nan,0.98,0.58,25.23,0.0382,0.0226
2022-07-27 13:14,57657.61,nan,0.99,0.58,25.24,0.0388,0.0231
2022-07-27 13:16,57659.29,nan,1.01,0.58,25.25,0.0398,0.0238
2022-07-27 13:18,57660.98,nan,1.00,0.58,25.26,0.0393,0.0233
2022-07-27 13:20,57662.65,nan,1.00,0.58,25.27,0.0389,0.0240
2022-07-27 13:22,57664.32,nan,1.00,0.58,25.28,0.0391,0.0242
2022-07-27 13:24,57665.98,nan,1.00,0.58,25.29,0.0380,0.0240
2022-07-27 13:26,57667.63,nan,1.03,0.58,25.29,0.0399,0.0248
2022-07-27 13:28,57669.29,nan,1.04,0.58,25.30,0.0401,0.0249
2022-07-27 13:30,57670.95,nan,1.04,0.58,25.31,0.0407,0.0252
2022-07-27 13:32,57672.60,nan,1.05,0.58,25.32,0.0415,0.0257
2022-07-27 13:34,57674.25,nan,1.05,0.58,25.33,0.0407,0.0253
2022-07-27 13:36,57675.89,nan,1.03,0.58,25.34,0.0398,0.0252
2022-07-27 13:38,57677.54,nan,1.02,0.58,25.35,0.0396,0.0254
2022-07-27 13:40,57679.20,nan,1.03,0.58,25.36,0.0399,0.0261
2022-07-27 13:42,57680.84,nan,1.02,0.58,25.37,0.0392,0.0258
2022-07-27 13:44,57682.48,nan,1.04,0.58,25.38,0.0407,0.0260
2022-07-27 13:46,57684.12,nan,1.00,0.58,25.39,0.0387,0.0254
2022-07-27 13:48,57685.77,nan,0.99,0.58,25.40,0.0375,0.0255
2022-07-27 13:50,57687.42,nan,0.99,0.58,25.41,0.0368,0.0255
2022-07-27 13:52,57689.07,nan,1.01,0.58,25.42,0.0382,0.0261
2022-07-27 13:54,57690.72,nan,0.97,0.58,25.43,0.0350,0.0256
2022-07-27 13:56,57692.38,nan,0.97,0.58,25.44,0.0352,0.0255
2022-07-27 13:58,57694.04,nan,1.00,0.58,25.45,0.0374,0.0265
2022-07-27 14:00,57695.70,nan,0.98,0.58,25.46,0.0361,0.0261
2022-07-27 14:02,57697.38,nan,0.99,0.58,25.47,0.0361,0.0265
2022-07-27 14:04,57699.06,nan,0.98,0.58,25.48,0.0358,0.0262
2022-07-27 14:06,57700.75,nan,0.96,0.58,25.49,0.0339,0.0258
2022-07-27 14:08,57702.45,nan,0.96,0.58,25.49,0.0335,0.0262
2022-07-27 14:10,57704.15,nan,0.97,0.58,25.50,0.0340,0.0264
2022-07-27 14:12,57705.87,nan,1.04,0.58,25.51,0.0381,0.0278
2022-07-27 14:14,57707.60,nan,1.03,0.58,25.53,0.0379,0.0281
2022-07-27 14:16,57709.34,nan,0.99,0.58,25.54,0.0362,0.0277
2022-07-27 14:18,57711.09,nan,0.97,0.58,25.55,0.0346,0.0268
2022-07-27 14:20,57712.86,nan,0.96,0.58,25.55,0.0343,0.0270
2022-07-27 14:22,57714.64,nan,0.95,0.58,25.56,0.0337,0.0271
2022-07-27 14:24,57716.44,nan,0.86,0.58,25.57,0.0296,0.0255
2022-07-27 14:26,57718.25,nan,0.86,0.58,25.58,0.0295,0.0256
2022-07-27 14:28,57720.07,nan,0.86,0.58,25.59,0.0294,0.0255
2022-07-27 14:30,57721.90,nan,0.87,0.58,25.60,0.0296,0.0257
2022-07-27 14:32,57723.74,nan,0.86,0.58,25.61,0.0298,0.0254
2022-07-27 14:34,57725.60,nan,0.85,0.58,25.62,0.0295,0.0252
2022-07-27 14:36,57727.46,nan,0.85,0.58,25.62,0.0300,0.0253
2022-07-27 14:38,57729.34,nan,0.86,0.58,25.63,0.0305,0.0254
2022-07-27 14:40,57731.23,nan,0.87,0.58,25.64,0.0313,0.0258
2022-07-27 14:42,57733.14,nan,0.83,0.58,25.65,0.0291,0.0248
2022-07-27 14:44,57735.07,nan,0.88,0.58,25.66,0.0310,0.0261
