Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,9.41,nan,0.00,0.46,40.69,0.0000,0.0000
2022-07-27 12:04,9.36,nan,0.00,0.46,40.68,0.0000,0.0000
2022-07-27 12:06,9.31,nan,0.00,0.46,40.68,0.0000,0.0000
2022-07-27 12:08,9.26,nan,0.00,0.46,40.68,0.0000,0.0000
2022-07-27 12:10,9.21,nan,0.00,0.46,40.67,0.0000,0.0000
2022-07-27 12:12,9.16,nan,0.00,0.46,40.67,0.0000,0.0000
2022-07-27 12:14,9.12,nan,0.00,0.46,40.67,0.0000,0.0000
2022-07-27 12:16,9.07,nan,0.00,0.46,40.66,0.0000,0.0000
2022-07-27 12:18,9.02,nan,0.00,0.46,40.66,0.0000,0.0000
2022-07-27 12:20,8.98,nan,0.00,0.46,40.65,0.0000,0.0000
2022-07-27 12:22,8.93,nan,0.00,0.46,40.65,0.0000,0.0000
2022-07-27 12:24,8.89,nan,0.00,0.46,40.65,0.0000,0.0000
2022-07-27 12:26,8.84,nan,0.00,0.46,40.64,0.0000,0.0000
2022-07-27 12:28,8.80,nan,0.00,0.46,40.64,0.0000,0.0000
2022-07-27 12:30,8.76,3.91,0.00,0.46,40.64,0.0000,0.0000
2022-07-27 12:32,8.71,nan,0.00,0.46,40.63,0.0000,0.0000
2022-07-27 12:34,8.67,nan,0.00,0.46,40.63,0.0000,0.0000
2022-07-27 12:36,8.63,nan,0.00,0.46,40.62,0.0000,0.0000
2022-07-27 12:38,8.59,nan,0.00,0.46,40.62,0.0000,0.0000
2022-07-27 12:40,8.55,nan,0.00,0.46,40.62,0.0000,0.0000
2022-07-27 12:42,8.51,nan,0.00,0.46,40.61,0.0000,0.0000
2022-07-27 12:44,8.46,nan,0.00,0.46,40.61,0.0000,0.0000
2022-07-27 12:46,8.42,nan,0.00,0.46,40.61,0.0000,0.0000
2022-07-27 12:48,8.39,nan,0.00,0.46,40.60,0.0000,0.0000
2022-07-27 12:50,8.35,nan,0.00,0.46,40.60,0.0000,0.0000
2022-07-27 12:52,8.31,nan,0.00,0.46,40.59,0.0000,0.0000
2022-07-27 12:54,8.27,nan,0.00,0.46,40.59,0.0000,0.0000
2022-07-27 12:56,8.23,nan,0.00,0.46,40.59,0.0000,0.0000
2022-07-27 12:58,8.19,nan,0.00,0.46,40.58,0.0000,0.0000
2022-07-27 13:00,8.15,3.85,0.00,0.46,40.58,0.0000,0.0000
2022-07-27 13:02,8.12,nan,0.00,0.46,40.58,0.0000,0.0000
2022-07-27 13:04,8.08,nan,0.00,0.46,40.57,0.0000,0.0000
2022-07-27 13:06,8.04,nan,0.00,0.46,40.57,0.0000,0.0000
2022-07-27 13:08,8.00,nan,0.00,0.46,40.56,0.0000,0.0000
2022-07-27 13:10,7.97,nan,0.00,0.46,40.56,0.0000,0.0000
2022-07-27 13:12,7.93,nan,0.00,0.46,40.56,0.0000,0.0000
2022-07-27 13:14,7.90,nan,0.00,0.46,40.55,0.0000,0.0000
2022-07-27 13:16,7.86,nan,0.00,0.46,40.55,0.0000,0.0000
2022-07-27 13:18,7.82,nan,0.00,0.46,40.55,0.0000,0.0000
2022-07-27 13:20,7.79,nan,0.00,0.46,40.54,0.0000,0.0000
2022-07-27 13:22,7.75,nan,0.00,0.46,40.54,0.0000,0.0000
2022-07-27 13:24,7.72,nan,0.00,0.46,40.53,0.0000,0.0000
2022-07-27 13:26,7.68,nan,0.00,0.46,40.53,0.0000,0.0000
2022-07-27 13:28,7.65,nan,0.00,0.46,40.53,0.0000,0.0000
2022-07-27 13:30,7.62,3.65,0.00,0.46,40.52,0.0000,0.0000
2022-07-27 13:32,7.58,nan,0.00,0.46,40.52,0.0000,0.0000
2022-07-27 13:34,7.55,nan,0.00,0.46,40.52,0.0000,0.0000
2022-07-27 13:36,7.51,nan,0.00,0.46,40.51,0.0000,0.0000
2022-07-27 13:38,7.48,nan,0.00,0.46,40.51,0.0000,0.0000
2022-07-27 13:40,7.45,nan,0.00,0.46,40.51,0.0000,0.0000
2022-07-27 13:42,7.42,nan,0.00,0.46,40.50,0.0000,0.0000
2022-07-27 13:44,7.38,nan,0.00,0.46,40.50,0.0000,0.0000
2022-07-27 13:46,7.35,nan,0.00,0.46,40.49,0.0000,0.0000
2022-07-27 13:48,7.32,nan,0.00,0.46,40.49,0.0000,0.0000
2022-07-27 13:50,7.29,nan,0.00,0.46,40.49,0.0000,0.0000
2022-07-27 13:52,7.25,nan,0.00,0.46,40.48,0.0000,0.0000
2022-07-27 13:54,7.22,nan,0.00,0.46,40.48,0.0000,0.0000
2022-07-27 13:56,7.19,nan,0.00,0.46,40.48,0.0000,0.0000
2022-07-27 13:58,7.16,nan,0.00,0.46,40.47,0.0000,0.0000
2022-07-27 14:00,7.13,3.54,0.00,0.46,40.47,0.0000,0.0000
2022-07-27 14:02,7.10,nan,0.00,0.46,40.46,0.0000,0.0000
2022-07-27 14:04,7.07,nan,0.00,0.46,40.46,0.0000,0.0000
2022-07-27 14:06,7.04,nan,0.00,0.46,40.46,0.0000,0.0000
2022-07-27 14:08,7.01,nan,0.00,0.46,40.45,0.0000,0.0000
2022-07-27 14:10,6.98,nan,0.00,0.46,40.45,0.0000,0.0000
2022-07-27 14:12,6.95,nan,0.00,0.46,40.45,0.0000,0.0000
2022-07-27 14:14,6.92,nan,0.00,0.46,40.44,0.0000,0.0000
2022-07-27 14:16,6.89,nan,0.00,0.46,40.44,0.0000,0.0000
2022-07-27 14:18,6.86,nan,0.00,0.46,40.43,0.0000,0.0000
2022-07-27 14:20,6.83,nan,0.00,0.46,40.43,0.0000,0.0000
2022-07-27 14:22,6.81,nan,0.00,0.46,40.43,0.0000,0.0000
2022-07-27 14:24,6.78,nan,0.00,0.46,40.42,0.0000,0.0000
2022-07-27 14:26,6.75,nan,0.00,0.46,40.42,0.0000,0.0000
