Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2022-07-27 12:02,1.10,nan,0.00,0.59,27.42,0.0000,0.0000
2022-07-27 12:04,1.10,nan,0.00,0.59,27.42,0.0000,0.0000
2022-07-27 12:06,1.10,nan,0.00,0.59,27.41,0.0000,0.0000
2022-07-27 12:08,1.10,nan,0.00,0.59,27.41,0.0000,0.0000
2022-07-27 12:10,1.10,0.26,0.00,0.59,27.41,0.0000,0.0000
2022-07-27 12:12,1.10,nan,0.00,0.59,27.40,0.0000,0.0000
2022-07-27 12:14,1.10,nan,0.00,0.59,27.40,0.0000,0.0000
2022-07-27 12:16,1.10,nan,0.00,0.59,27.40,0.0000,0.0000
2022-07-27 12:18,1.10,nan,0.00,0.59,27.39,0.0000,0.0000
2022-07-27 12:20,1.10,0.27,0.00,0.59,27.39,0.0000,0.0000
2022-07-27 12:22,1.10,nan,0.00,0.59,27.39,0.0000,0.0000
2022-07-27 12:24,1.10,nan,0.00,0.59,27.39,0.0000,0.0000
2022-07-27 12:26,1.09,nan,0.00,0.59,27.38,0.0000,0.0000
2022-07-27 12:28,1.09,nan,0.00,0.59,27.38,0.0000,0.0000
2022-07-27 12:30,1.09,0.26,0.00,0.59,27.38,0.0000,0.0000
2022-07-27 12:32,1.09,nan,0.00,0.59,27.37,0.0000,0.0000
2022-07-27 12:34,1.09,nan,0.00,0.59,27.37,0.0000,0.0000
2022-07-27 12:36,1.09,nan,0.00,0.59,27.37,0.0000,0.0000
2022-07-27 12:38,1.09,nan,0.00,0.59,27.37,0.0000,0.0000
2022-07-27 12:40,1.09,0.26,0.00,0.59,27.36,0.0000,0.0000
2022-07-27 12:42,1.09,nan,0.00,0.59,27.36,0.0000,0.0000
2022-07-27 12:44,1.09,nan,0.00,0.59,27.36,0.0000,0.0000
2022-07-27 12:46,1.08,nan,0.00,0.59,27.35,0.0000,0.0000
2022-07-27 12:48,1.08,nan,0.00,0.59,27.35,0.0000,0.0000
2022-07-27 12:50,1.08,0.25,0.00,0.59,27.35,0.0000,0.0000
2022-07-27 12:52,1.08,nan,0.00,0.59,27.34,0.0000,0.0000
2022-07-27 12:54,1.08,nan,0.00,0.59,27.34,0.0000,0.0000
